BrandID;BrandName;BrandOwnerID;BrandOwner;ParentID;ParentCompany;SubBrandID;SubBrand;Revision Date
BBGK;Big Boy;BDLC;Big Boy Products;BDLC;Big Boy Products;;;12-Jul-07
BBGL;Bilstein;DCXG;ThyssenKrupp Automotive Group;CVLH;ThyssenKrupp Automotive Group;;;12-Jul-07
BBGM;Porto-Power;BCVN;Blackhawk Automotive;BGCQ;Lincoln;;;12-Jul-07
BBGN;Blackhawk;BDBF;Proto;BGDL;Stanley Black & Decker Inc;;;8-Jul-16
BBGP;Baja Tough;BDLL;Blazer International;HFFK;Tiger Accessory Group;;;12-Jul-07
BBGQ;Pathfinder;BDLL;Blazer International;HFFK;Tiger Accessory Group;;;12-Jul-07
BBGR;BLD;BDLM;BLD Products Ltd;BDLM;BLD Products Ltd;;;12-Jul-07
BBGS;Champ;BCVP;Blue Streak;BGDK;Standard Motor Products Inc;;;12-Jul-07
BBGT;True-Tech;BCVP;Blue Streak;BGDK;Standard Motor Products Inc;;;12-Jul-07
BBGV;Hygrade Tuneup;BCVP;Blue Streak;BGDK;Standard Motor Products Inc;;;12-Jul-07
BBGW;Bluestar Battery;BDLP;Bluestar Battery;BDLP;Bluestar Battery;;;12-Jul-07
BBGX;Bonar;BDLQ;Bonar Packaging;BDLQ;Bonar Packaging;;;12-Jul-07
BBGZ;Bonded Motors;BDLR;Bonded Motors Inc;BDLR;Bonded Motors Inc;;;12-Jul-07
BBHB;Brute;BCVQ;Borg Warner;BGDK;Standard Motor Products Inc;;;12-Jul-07
BBHC;Niehoff;BCWQ;Echlin Inc;BGDK;Standard Motor Products Inc;;;12-Jul-07
BBHD;Pace Setter;BCWQ;Echlin Inc;BGDK;Standard Motor Products Inc;;;12-Jul-07
BBHF;Whittaker;BCVQ;Borg Warner;BGDK;Standard Motor Products Inc;;;12-Jul-07
BBHG;Whitco;BCVQ;Borg Warner;BGDK;Standard Motor Products Inc;;;12-Jul-07
BBHH;Bosal;BDLT;Bosal USA Inc;BDLT;Bosal USA Inc;;;12-Jul-07
BBHJ;Brospeed;BDLT;Bosal USA Inc;BDLT;Bosal USA Inc;;;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;GNCK;QuietCast;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;GNCL;Elite;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;GNCM;Ceramic;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;GNCN;Ultralife;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;GNCP;Long Life;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;GNCQ;Distance Plus;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;HCHJ;Envision;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;HCHK;Snow Driver;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;GNDJ;Steel Tech;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;GRCG;Blue;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;GRCH;EuroLine;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;GNDB;MicroEdge;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;GNDC;AeroTwin;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;GNDD;Twin;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;GNDF;Rear;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;GNDG;Marathon;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;GNDH;Perfect View;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;GNCR;Excel+;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;GNCS;DirectConnect;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;GNCT;ICON;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;GNCV;Evolution;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;GNCW;Clear Advantage;12-Jul-07
BBHK;Bosch;BCVR;Bosch Automotive;BDLV;Robert Bosch LLC;GNCX;InSight;12-Jul-07
BBHL;Boyds;BDLW;American Republic Wheels;BDLW;American Republic Wheels;;;12-Jul-07
BBHM;Breeze;BDLZ;Breeze Corporation Inc;BDLZ;Breeze Corporation Inc;;;12-Jul-07
BBHN;Brembo;BDMB;Brembo SpA;BDMB;Brembo SpA;;;12-Jul-07
BBHP;Brian Walter;BDMC;Brian Walter Inc;BDMC;Brian Walter Inc;;;12-Jul-07
BBHQ;Bridge;BCVS;Bridge Products;BDMD;Docap;;;12-Jul-07
BBHR;Bryco;BCVT;Bryco Inc;BDMK;Bryco By Carfel;;;12-Jul-07
BBHS;Spray 9;BDMP;Burgess Chemical;BDMP;Burgess Chemical;;;12-Jul-07
BBHT;Buyers;BDMR;Buyers Products;BDMR;Buyers Products;;;12-Jul-07
BBHV;CTA;BDMV;CTA Manufacturing Corporation;BDMV;CTA Manufacturing Corporation;;;12-Jul-07
BBHW;CV Plus;FLMW;Heri Automotive;FLMP;Heri Rocker Arm;;;9-Jun-16
BBHX;Prestone Belts and Hose;BDMX;Cadna Rubber Company;CQXG;Continental-Contitech;;;12-Jul-07
BBHZ;CAE;BDMZ;CAE Remanufacturing;BDMZ;CAE Remanufacturing;;;12-Jul-07
BBJB;Calterm;BDNH;Calterm Inc;BDNH;Calterm Inc;;;12-Jul-07
BBJC;Cama;BDNK;Cama Automotive Products (CAP);BDNK;Cama Automotive Products (CAP);;;12-Jul-07
BBJD;Cambro;BDNL;Cambro Products Inc;BDNL;Cambro Products Inc;;;12-Jul-07
BBJF;Camco;BDNM;Camco Manufacturing Inc;BDNM;Camco Manufacturing Inc;;;12-Jul-07
BBJG;Camel;DXMG;Plews Edelmann;FGVN;Plews Edelmann;;;15-Ago-11
BBJH;Campbell;GNGD;Apex Tool Group LLC;GNGC;Apex Tool Group LLC;;;31-May-16
BBJJ;Canadian Tire;BDNS;Canadian Tire Corporation;BDNS;Canadian Tire Corporation;;;22-Ene-18
BBJK;Canadian Trade;BDNT;Canadian Trade Corporation;BDNT;Canadian Trade Corporation;;;12-Jul-07
BBJL;Canfield;BDNW;Canfield Auto Electric;BDNW;Canfield Auto Electric;;;12-Jul-07
BBJN;Car Care;BDPB;Car Care Parts Corporation;BDPB;Car Care Parts Corporation;;;12-Jul-07
BBJP;Carlisle;BDPF;Carlisle Tires;BDPF;Carlisle Tires;;;12-Jul-07
BBJQ;Carol;BDPG;Carol Ignition Wires;BDPG;Carol Ignition Wires;;;12-Jul-07
BBJR;ALC Sandy Jet;BFVT;CARQUEST;BFVT;CARQUEST;;;12-Jul-07
BBJS;Bel-Aire;BFVT;CARQUEST;BFVT;CARQUEST;;;12-Jul-07
BBJT;CARQUEST Premium;BFVT;CARQUEST;BFVT;CARQUEST;;;12-Jul-07
BBJV;CARQUEST Gold;BFVT;CARQUEST;BFVT;CARQUEST;;;12-Jul-07
BBJW;CARQUEST Standard;BFVT;CARQUEST;BFVT;CARQUEST;;;12-Jul-07
BBJX;Catco;BDPK;AirTek Inc;BDPK;AirTek Inc;;;12-Jul-07
BBJZ;Center Line;BDPM;Center Line Wheel Corp;BDPM;Center Line Wheel Corp;;;12-Jul-07
BBKH;Champion Spark Plug;BGMV;Federal-Mogul Motorparts;BGMV;Federal-Mogul Motorparts;DWNL;Champion Iridium;13-Jul-17
BBKH;Champion Spark Plug;BGMV;Federal-Mogul Motorparts;BGMV;Federal-Mogul Motorparts;DWNM;Copper Plus;13-Jul-17
BBKH;Champion Spark Plug;BGMV;Federal-Mogul Motorparts;BGMV;Federal-Mogul Motorparts;DWNN;Platinum Power;13-Jul-17
BBKH;Champion Spark Plug;BGMV;Federal-Mogul Motorparts;BGMV;Federal-Mogul Motorparts;DWNP;Double Platinum Power;13-Jul-17
BBKH;Champion Spark Plug;BGMV;Federal-Mogul Motorparts;BGMV;Federal-Mogul Motorparts;DWNQ;Copper Plus Small Engine;13-Jul-17
BBKH;Champion Spark Plug;BGMV;Federal-Mogul Motorparts;BGMV;Federal-Mogul Motorparts;DWNR;Premium Small Engine;13-Jul-17
BBKH;Champion Spark Plug;BGMV;Federal-Mogul Motorparts;BGMV;Federal-Mogul Motorparts;DWNS;PowerSport;13-Jul-17
BBKH;Champion Spark Plug;BGMV;Federal-Mogul Motorparts;BGMV;Federal-Mogul Motorparts;DWNT;Champion Industrial;13-Jul-17
BBKJ;Powerpath;BGMV;Federal-Mogul Motorparts;BGMV;Federal-Mogul Motorparts;;;12-Jul-07
BBKK;ChannelLock;BDPR;Channellock Inc;BDPR;Channellock Inc;;;12-Jul-07
BBKL;Charlie Brown;BDPT;Charlie Brown Catalytic Converters;BDPT;Charlie Brown Catalytic Converters;;;12-Jul-07
BBKM;Charter;BDPV;Charter V-Belts;BDPV;Charter V-Belts;;;12-Jul-07
BBKN;Chem Free;BDPW;Chem Free Corporation;BDPW;Chem Free Corporation;;;12-Jul-07
BBKP;Chilton;BDQB;Cengage Learning;BDQB;Cengage Learning;;;12-Jul-07
BBKQ;Christie;BDQC;Christie Automotive Products;BDQC;Christie Automotive Products;;;11-Abr-13
BBKR;Mopar;BDQD;Chrysler Corporation;BDQD;Chrysler Corporation;FKQS;Magneti Marelli offered by Mopar;12-Jul-07
BBKS;Clevite77;BCWD;Clevite;BHGJ;MAHLE;;;12-Jul-07
BBKT;McCord;BGMV;Federal-Mogul Motorparts;BGMV;Federal-Mogul Motorparts;;;12-Jul-07
BBKW;Cloverland;BDQG;Cloverland Engines;BDQG;Cloverland Engines;;;12-Jul-07
BBKX;Cloyes;BDQH;Cloyes Gear & Products Inc;BDQH;Cloyes Gear & Products Inc;;;12-Jul-07
BBKZ;Cofap;BDQJ;Cofap Of America;BDQJ;Cofap Of America;;;12-Jul-07
BBLB;Coker;BDQK;Coker Tire;BDQK;Coker Tire;;;12-Jul-07
BBLC;Coleman Cable;BDQM;Coleman Cable LLC;GFVT;Southwire Company LLC;;;12-Jul-07
BBLD;Columbia;BDQP;Columbia Products Inc;BDQP;Columbia Products Inc;;;12-Jul-07
BBLG;Component Parts;BDQT;Component Parts Company Inc - CPC;BDQT;Component Parts Company Inc - CPC;;;12-Jul-07
BBLH;Coni-Seal;BDQV;Coni-Seal Inc;BDQV;Coni-Seal Inc;;;12-Jul-07
BBLJ;Cooper;CWMG;Eaton Corporation;CQXS;Eaton Corporation;;;11-Jul-16
BBLK;Lufkin;GNGD;Apex Tool Group LLC;GNGC;Apex Tool Group LLC;;;31-May-16
BBLL;Weller;GNGD;Apex Tool Group LLC;GNGC;Apex Tool Group LLC;;;31-May-16
BBLM;Cord;BDRD;Cord Automotive;BDRD;Cord Automotive;;;4-Dic-17
BBLN;Coronet;BDRF;Coronet Manufacturing;BDRF;Coronet Manufacturing;;;12-Jul-07
BBLP;Corvette America;FSJN;Trim Parts Inc;FSJM;Trim Parts Inc;;;1-Mar-16
BBLQ;Covercraft;BDRJ;Covercraft Industries;BDRJ;Covercraft Industries;;;12-Jul-07
BBLS;Scotseal;BGCL;CR Services;BGCL;SKF USA Inc;;;12-Jul-07
BBLT;Cragar;BDRM;The Carlstar Group LLC;BDRM;The Carlstar Group LLC;;;12-Jul-07
BBLV;Crane;BDRN;Crane Cams;CSKG;Mikronite Technologies Group;;;12-Jul-07
BBLW;CRC;BCWH;CRC Industries Inc;BDRQ;CRC Industries Inc;;;12-Jul-07
BBLX;Rislone;DVXS;Bars Products;DVXQ;Bars Products;;;31-Dic-97
BBLZ;Cross Canada;BDRR;Cross Canada Parts;DMQS;LKQ Corporation;;;12-Jul-07
BBMB;Crown;BDRS;Crown Remanufacturing Inc;BDRS;Crown Remanufacturing Inc;;;12-Jul-07
BBMC;CRP;BDRT;CRP Manufacturing Company;BDRT;CRP Manufacturing Company;;;12-Jul-07
BBMD;CSF;BDRV;CSF Inc;BDRV;CSF Inc;;;12-Jul-07
BBMF;CST;BDRW;CST Inc;BDRW;CST Inc;;;12-Jul-07
BBMG;Cyberdyne;BDSC;Cyberdyne Inc;BDSC;Cyberdyne Inc;;;12-Jul-07
BBMH;Promate;BDSF;Daido Group;BDSF;Daido Group;;;12-Jul-07
BBMJ;Truecraft;BDSF;Daido Group;BDSF;Daido Group;;;12-Jul-07
BBMK;EXEDY OEM;BCWK;EXEDY OEM;BDSG;EXEDY Global Parts;;;17-Oct-17
BBML;Chelsea;BBML;Chelsea;BCFT;Parker;;;12-Jul-07
BBMM;Raybestos Chassis;FNCC;Affinia Global Chassis;BKIE;Affinia Group Inc;;;21-Ene-13
BBMN;Dapper;BDSH;Dapper Tire Company;BDSH;Dapper Tire Company;;;12-Jul-07
BBMP;Datcon;BDSJ;maximatecc;BDSJ;maximatecc;;;12-Jul-07
BBMQ;Drive Rite;BCWL;Dayco;BGGZ;Dayco Products LLC;;;12-Jul-07
BBMT;Daytona Rubber;BDSM;Daytona Rubber Company;BDSM;Daytona Rubber Company;;;12-Jul-07
BBMW;Delgado;BDSQ;Delgado Wheels;BDSQ;Delgado Wheels;;;12-Jul-07
BBMX;Delphi;BFQC;Delphi Automotive;BFQC;Delphi Automotive;;;12-Jul-07
BBMZ;Hartridge Test Equipment;BFQC;Delphi Automotive;BFQC;Delphi Automotive;;;12-Jul-07
BBNB;Auto Hardware;BDSR;Delta Consolidated;BDSR;Delta Consolidated;;;12-Jul-07
BBNC;Magnum Products;BDSR;Delta Consolidated;BDSR;Delta Consolidated;;;12-Jul-07
BBND;Payload Products;BDSR;Delta Consolidated;BDSR;Delta Consolidated;;;12-Jul-07
BBNF;DENSO Auto Parts;BDSS;Denso Products & Services Americas Inc;BDSS;Denso Products & Services Americas Inc;;;12-Jul-07
BBNH;Detroit Radiator Corporation;BDSW;Detroit Radiator Corporation;BDSW;Detroit Radiator Corporation;;;12-Jul-07
BBNJ;Devcon;BFRX;Permatex;BFRX;Permatex;;;9-Ene-15
BBNK;Dewalt;BDSZ;Dewalt Industrial Tool Company;BDSZ;Dewalt Industrial Tool Company;;;12-Jul-07
BBNL;Dillion;BDTB;Dillion Automotive Products;BDTB;Dillion Automotive Products;;;12-Jul-07
BBNM;Dipaco;BDTC;Dipaco Inc;BDTC;Dipaco Inc;;;12-Jul-07
BBNP;Dixon;BDTF;Dixon Valve & Coupling;BDTF;Dixon Valve & Coupling;;;12-Jul-07
BBNQ;Donaldson;BDTG;Donaldson Company;BDTG;Donaldson Company;;;12-Jul-07
BBNR;Douglas Battery;BDTH;Douglas Battery Manufacturing Company;BDTH;Douglas Battery Manufacturing Company;;;12-Jul-07
BBNS;Driv;BDTL;Driv Wheels;BDTL;Driv Wheels;;;12-Jul-07
BBNT;DSR;BDTP;DSR Manufacturing;BDTP;DSR Manufacturing;;;12-Jul-07
BBNV;Duradrive;BDTR;Duradrive Industries;BDTR;Duradrive Industries;;;12-Jul-07
BBNW;Duro;BDTV;Duro Tire & Wheel;HHQY;Hwa Fong Rubber Ind Co Ltd;;;19-Ene-18
BBNX;Dyna NA;BDTW;Dyna NA Ltd;BDTW;Dyna NA Ltd;;;12-Jul-07
BBNZ;Badger;BDTX;Dynagear;BDTX;Dynagear;;;12-Jul-07
BBPB;Manley;BDTX;Dynagear;BDTX;Dynagear;;;12-Jul-07
BBPC;Dynaline;BDTZ;Dynaline Products;BDTZ;Dynaline Products;;;12-Jul-07
BBPD;Dynamic;BDVB;Dynamic Axle CV Product;BDVB;Dynamic Axle CV Product;;;12-Jul-07
BBPG;Eagle;BDVD;Eagle Radiators;BDVD;Eagle Radiators;;;12-Jul-07
BBPH;LRV;BDVF;Easco;BDVF;Easco;;;12-Jul-07
BBPJ;Eastern Catalytic;BDVH;Eastern Manufacturing Inc;BDVH;Eastern Manufacturing Inc;;;26-Dic-12
BBPK;Echlin;BCWQ;Echlin Inc;BGDK;Standard Motor Products Inc;;;12-Jul-07
BBPN;Elgin;BDVM;Elgin Industries;BDVM;Elgin Industries;;;12-Jul-07
BBPP;Elite;BDVN;Elite Wheels;BDVN;Elite Wheels;;;12-Jul-07
BBPQ;EMPI;BCWS;Empi Inc;BDVP;Bay State Enterprises;;;12-Jul-07
BBPS;Engine Supply;BDVR;Engine Supply Inc;BDVR;Engine Supply Inc;;;12-Jul-07
BBPT;Enginetech;BDVS;Enginetech Inc;BDVS;Enginetech Inc;;;12-Jul-07
BBPV;Enkei;BDVT;Enkei Wheels;BDVT;Enkei Wheels;;;12-Jul-07
